Wk,Day,Date,Time,Home,Score,Away,Referee,Home Goals,Away Goals
18.0,Sat,2023-08-05,15:00,Brommapojkarna,,Värnamo,,,
18.0,Sun,2023-08-06,15:00,Elfsborg,,Sirius,,,
18.0,Sun,2023-08-06,15:00,Kalmar,,AIK Stockholm,,,
18.0,Mon,2023-08-07,19:00,Malmö,,Halmstad,,,
18.0,Mon,2023-08-07,19:00,Norrköping,,Göteborg,,,
18.0,Mon,2023-08-07,19:00,Varberg,,Mjällby,,,
