Wk,Day,Date,Time,Home,Away,Referee,Home Goals,Away Goals
9.0,Sat,2023-05-20,15:00,Degerfors,AIK Stockholm,Granit Maqedonci,2.0,1.0
9.0,Sun,2023-05-21,15:00,Malmö,Häcken,Kristoffer Karlsson,2.0,2.0
9.0,Sun,2023-05-21,15:00,Brommapojkarna,Varberg,Richard Sundell,2.0,1.0
9.0,Sun,2023-05-21,15:00,Djurgården,Mjällby,Kaspar Sjöberg,2.0,0.0
9.0,Sun,2023-05-21,17:30,Göteborg,Hammarby,Fredrik Klitte,1.0,1.0
9.0,Sun,2023-05-21,17:30,Sirius,Halmstad,Mohammed Al Hakim,1.0,2.0
9.0,Mon,2023-05-22,19:00,Värnamo,Kalmar,Oscar Johnson,0.0,1.0
9.0,Mon,2023-05-22,19:10,Norrköping,Elfsborg,Andreas Ekberg,1.0,2.0
18.0,Wed,2023-05-24,19:00,Djurgården,Häcken,Joakim Östling,1.0,0.0
18.0,Thu,2023-05-25,19:00,Degerfors,Hammarby,Kaspar Sjöberg,2.0,2.0
10.0,Sat,2023-05-27,15:00,Mjällby,Halmstad,Fredrik Klitte,0.0,2.0
10.0,Sat,2023-05-27,17:30,Brommapojkarna,Sirius,Kristoffer Karlsson,1.0,2.0
10.0,Sun,2023-05-28,15:00,Djurgården,AIK Stockholm,Andreas Ekberg,1.0,0.0
10.0,Sun,2023-05-28,15:00,Kalmar,Norrköping,Adi Aganovic,2.0,1.0
10.0,Sun,2023-05-28,17:30,Elfsborg,Malmö,Joakim Östling,3.0,0.0
10.0,Mon,2023-05-29,19:00,Degerfors,Varberg,Victor Wolf,1.0,1.0
10.0,Mon,2023-05-29,19:00,Hammarby,Värnamo,Mohammed Al Hakim,0.0,2.0
10.0,Mon,2023-05-29,19:10,Häcken,Göteborg,Granit Maqedonci,4.0,1.0
11.0,Sat,2023-06-03,15:00,Göteborg,Mjällby,Richard Sundell,0.0,1.0
11.0,Sat,2023-06-03,17:30,Norrköping,Brommapojkarna,Mohammed Al Hakim,0.0,2.0
11.0,Sun,2023-06-04,15:00,AIK Stockholm,Kalmar,Joakim Östling,1.0,1.0
11.0,Sun,2023-06-04,15:00,Halmstad,Hammarby,Victor Wolf,0.0,0.0
11.0,Sun,2023-06-04,17:30,Sirius,Värnamo,Fredrik Klitte,2.0,0.0
11.0,Sun,2023-06-04,17:30,Elfsborg,Djurgården,Kristoffer Karlsson,1.0,1.0
11.0,Mon,2023-06-05,19:00,Varberg,Häcken,Oscar Johnson,0.0,2.0
11.0,Mon,2023-06-05,19:10,Malmö,Degerfors,Adam Ladebäck,5.0,0.0
12.0,Fri,2023-06-09,19:00,Hammarby,Brommapojkarna,Adam Ladebäck,2.0,1.0
12.0,Sat,2023-06-10,15:00,Kalmar,Degerfors,Magnus Lindgren,2.0,1.0
12.0,Sat,2023-06-10,15:00,Värnamo,Malmö,Andreas Ekberg,1.0,3.0
12.0,Sat,2023-06-10,17:30,Varberg,Halmstad,Adi Aganovic,1.0,2.0
12.0,Sun,2023-06-11,15:00,AIK Stockholm,Elfsborg,Mohammed Al Hakim,1.0,2.0
12.0,Sun,2023-06-11,15:00,Sirius,Göteborg,Oscar Johnson,2.0,0.0
12.0,Sun,2023-06-11,17:30,Häcken,Mjällby,Joakim Östling,3.0,0.0
12.0,Sun,2023-06-11,17:30,Djurgården,Norrköping,Granit Maqedonci,2.0,2.0
13.0,Sat,2023-07-01,15:00,Degerfors,Värnamo,Oscar Johnson,0.0,2.0
13.0,Sat,2023-07-01,15:00,Brommapojkarna,AIK Stockholm,Fredrik Klitte,0.0,2.0
13.0,Sat,2023-07-01,17:30,Malmö,Sirius,Victor Wolf,3.0,0.0
